batch,first,inst_code,inst,major_code,major,second,plan_num
本科提前批,历史,J002,"国防科技大学(湖南,公办)",AD,印地语(军事外交)(指挥)(只招男生)(特控线上录取)(体检标准:其他专业合格)(只招英语考生),不限,1
本科提前批,历史,J002,"国防科技大学(湖南,公办)",AF,越南语(军事外交)(指挥)(只招男生)(特控线上录取)(体检标准:其他专业合格)(只招英语考生),不限,1
本科提前批,历史,P042,"国际关系学院(北京,公办)(女)",L1,国际政治(政治面貌、身体等报考条件详见招生章程)(只招女生),政治,1
本科提前批,历史,P042,"国际关系学院(北京,公办)(女)",L2,传播学(政治面貌、身体等报考条件详见招生章程)(只招女生),不限,1
本科提前批,历史,P042,"国际关系学院(北京,公办)(女)",L6,英语(政治面貌、身体等报考条件详见招生章程)(只招女生)(外语语种为英语),不限,1
本科提前批,历史,0042,"国际关系学院(北京,公办)",1L,国际政治(政治面貌、身体等报考条件详见招生章程)(只招男生),政治,1
本科提前批,历史,0042,"国际关系学院(北京,公办)",2L,传播学(政治面貌、身体等报考条件详见招生章程)(只招男生),不限,1
本科提前批,历史,0042,"国际关系学院(北京,公办)",6L,英语(政治面貌、身体等报考条件详见招生章程)(只招男生)(外语语种为英语),不限,1
本科提前批,历史,4172,"海南科技职业大学(海南,民办)",08,"航海技术(职业教育本科)(身高160cm及以上.双眼裸视力均能达到0.5以上；或双眼裸视力均能达到0.1以上,且矫正视力均能达到0.8及以上)",不限,2
本科提前批,历史,0212,"黑龙江大学(黑龙江,公办)",14,"俄语(基础学科拔尖培养计划,该计划不低于50％的学生实施本硕连读培养)(只招收外语语种为英语或俄语的考生)",不限,3
本科提前批,历史,0212,"黑龙江大学(黑龙江,公办)",16,德语(只招英语考生),不限,2
本科提前批,历史,0212,"黑龙江大学(黑龙江,公办)",17,法语(只招英语考生),不限,2
本科提前批,历史,0212,"黑龙江大学(黑龙江,公办)",18,西班牙语(只招英语考生),不限,2
本科提前批,历史,0212,"黑龙江大学(黑龙江,公办)",21,朝鲜语(只招英语考生),不限,2
本科提前批,历史,0212,"黑龙江大学(黑龙江,公办)",E5,阿拉伯语(只招英语考生),不限,3
本科提前批,历史,0212,"黑龙江大学(黑龙江,公办)",E6,日语(只招英语考生),不限,3
本科提前批,历史,0212,"黑龙江大学(黑龙江,公办)",EB,俄语(只招收外语语种为英语或俄语的考生),不限,5
本科提前批,历史,0511,"华中师范大学(湖北,公办)(公费师范)",07,思想政治教育(国家公费师范生),政治,2
本科提前批,历史,0511,"华中师范大学(湖北,公办)(公费师范)",19,历史学(国家公费师范生),不限,2
本科提前批,历史,0511,"华中师范大学(湖北,公办)(公费师范)",32,地理科学(国家公费师范生),地理,2
本科提前批,历史,0414,"江西师范大学(江西,公办)",1K,马克思主义理论,政治,1
本科提前批,历史,JF25,"空军航空大学(吉林,公办)",FX,飞行技术(航空飞行与指挥)(指挥)(只招男生)(特控线上录取)(只招英俄语考生)(只招参加飞行员体检合格者)(视实际情况调整历史类物理类人数),不限,2
本科提前批,历史,6406,"昆山杜克大学(江苏,中外合作办学)(综合评价招生)",04,历史学(中外合作办学)(仅招收综合评价测试入围并达到特殊类型招生录取控制线的考生),不限,1
本科提前批,历史,P432,"辽宁警察学院(大连,公办)(女)",2B,治安学(只招女生),政治,4
本科提前批,历史,P432,"辽宁警察学院(大连,公办)(女)",2C,侦查学(只招女生),政治,5
本科提前批,历史,P432,"辽宁警察学院(大连,公办)(女)",2D,经济犯罪侦查(只招女生),政治,6
本科提前批,历史,P432,"辽宁警察学院(大连,公办)(女)",2E,犯罪学(只招女生),政治,4
本科提前批,历史,P432,"辽宁警察学院(大连,公办)(女)",2F,警务指挥与战术(只招女生),政治,4
本科提前批,历史,1432,"辽宁警察学院(大连,公办)",1B,治安学(只招男生),政治,58
本科提前批,历史,1432,"辽宁警察学院(大连,公办)",1C,侦查学(只招男生),政治,38
本科提前批,历史,1432,"辽宁警察学院(大连,公办)",1D,经济犯罪侦查(只招男生),政治,44
本科提前批,历史,1432,"辽宁警察学院(大连,公办)",1E,犯罪学(只招男生),政治,36
本科提前批,历史,1432,"辽宁警察学院(大连,公办)",1F,警务指挥与战术(只招男生),政治,36
本科提前批,历史,0284,"南京大学(江苏,公办)",00,马克思主义理论,政治,2
本科提前批,历史,0284,"南京大学(江苏,公办)",28,俄语,不限,1
本科提前批,历史,1466,"南京森林警察学院(江苏,公办)",0G,侦查学(面向海关缉私部门入警就业)(只招男生),政治,1
本科提前批,历史,0003,"清华大学(北京,公办)",0T,马克思主义理论,政治,1
本科提前批,历史,1510,"山东交通学院(山东,公办)",80,轮机工程(威海校区.无传染病、色盲、色弱),化学,2
本科提前批,历史,0718,"陕西师范大学(陕西,公办)(公费师范)",04,思想政治教育(国家公费师范生),政治,1
本科提前批,历史,0718,"陕西师范大学(陕西,公办)(公费师范)",0D,汉语言文学(国家公费师范生),不限,2
本科提前批,历史,0718,"陕西师范大学(陕西,公办)(公费师范)",0E,英语(国家公费师范生)(只招英语考生),不限,2
本科提前批,历史,0718,"陕西师范大学(陕西,公办)(公费师范)",0M,历史学(国家公费师范生),不限,2
本科提前批,历史,P274,"上海海关学院(上海,公办)(女)",AB,"海关管理［根据学院招生章程,只招女生.女性身高不低于158厘米,体型匀称；双眼矫正视力均不低于0.6(标准对数视力4.8),无明显视功能损害眼病；五官端正,面部无疤痕等明显特征和缺陷,无各种残疾］",不限,2
本科提前批,历史,P274,"上海海关学院(上海,公办)(女)",AC,"海关稽查［根据学院招生章程,只招女生.女性身高不低于158厘米,体型匀称；双眼矫正视力均不低于0.6(标准对数视力4.8),无明显视功能损害眼病；五官端正,面部无疤痕等明显特征和缺陷,无各种残疾］",不限,1
本科提前批,历史,0274,"上海海关学院(上海,公办)",01,"海关管理［根据学院招生章程,只招男生.男性身高不低于168厘米,体型匀称；双眼矫正视力均不低于0.6(标准对数视力4.8),无明显视功能损害眼病；五官端正,面部无疤痕等明显特征和缺陷,无各种残疾］",不限,6
本科提前批,历史,0274,"上海海关学院(上海,公办)",14,"海关稽查［根据学院招生章程,只招男生.男性身高不低于168厘米,体型匀称；双眼矫正视力均不低于0.6(标准对数视力4.8),无明显视功能损害眼病；五官端正,面部无疤痕等明显特征和缺陷,无各种残疾］",不限,1
本科提前批,历史,6404,"上海纽约大学(上海,中外合作办学)(综合评价招生)",01,"人文科学试验班(经济学、金融学)(入学专业不定,自由选择)(需面试合格)",不限,1
本科提前批,历史,0271,"上海外国语大学(上海,公办)",08,俄语(外语语种为英语或俄语),不限,1
本科提前批,历史,0271,"上海外国语大学(上海,公办)",09,捷克语(外语语种为英语),不限,1
本科提前批,历史,0271,"上海外国语大学(上海,公办)",20,朝鲜语(外语语种为英语),不限,1
本科提前批,历史,0271,"上海外国语大学(上海,公办)",22,日语(外语语种为英语或日语),不限,1
本科提前批,历史,0177,"沈阳音乐学院(沈阳,公办)",01,艺术史论(三好校区音乐学系),不限,21
本科提前批,历史,0177,"沈阳音乐学院(沈阳,公办)",65,戏剧影视文学(长青校区戏剧影视学院),不限,36
本科提前批,历史,0177,"沈阳音乐学院(沈阳,公办)",66,广播电视编导(长青校区戏剧影视学院),不限,46
本科提前批,历史,0650,"四川外国语大学(重庆,公办)",11,俄语,不限,1
本科提前批,历史,0650,"四川外国语大学(重庆,公办)",12,德语,不限,1
本科提前批,历史,0650,"四川外国语大学(重庆,公办)",13,法语,不限,1
本科提前批,历史,0650,"四川外国语大学(重庆,公办)",14,法语(法语法学联合培养),不限,1
本科提前批,历史,0650,"四川外国语大学(重庆,公办)",15,日语,不限,1
本科提前批,历史,0650,"四川外国语大学(重庆,公办)",16,西班牙语,不限,1
本科提前批,历史,0650,"四川外国语大学(重庆,公办)",25,朝鲜语,不限,1
本科提前批,历史,2735,"铁道警察学院(河南,公办)(定向)",01,治安学(需参加省级公安机关统一组织的考察、面试、体检、体能测评；面向铁路公安机关就业；只招男生)(须面试合格),政治,4
本科提前批,历史,2735,"铁道警察学院(河南,公办)(定向)",03,侦查学(需参加省级公安机关统一组织的考察、面试、体检、体能测评；面向铁路公安机关就业；只招男生)(须面试合格),政治,5
本科提前批,历史,2735,"铁道警察学院(河南,公办)(定向)",05,公安管理学(需参加省级公安机关统一组织的考察、面试、体检、体能测评；面向铁路公安机关就业；只招男生)(须面试合格),政治,4
本科提前批,历史,2735,"铁道警察学院(河南,公办)(定向)",07,铁路警务(需参加省级公安机关统一组织的考察、面试、体检、体能测评；面向铁路公安机关就业；只招男生)(须面试合格),政治,3
本科提前批,历史,P735,"铁道警察学院(河南,公办)(定向)(女)",02,治安学(需参加省级公安机关统一组织的考察、面试、体检、体能测评；面向铁路公安机关就业；只招女生)(须面试合格),政治,1
本科提前批,历史,P735,"铁道警察学院(河南,公办)(定向)(女)",06,公安管理学(需参加省级公安机关统一组织的考察、面试、体检、体能测评；面向铁路公安机关就业；只招女生)(须面试合格),政治,1
本科提前批,历史,0040,"外交学院(北京,公办)",01,外交学［须参加高考外语口试且成绩达到合格(含)以上］,政治,1
本科提前批,历史,0040,"外交学院(北京,公办)",03,英语［限招英语语种考生；须参加高考外语口试且成绩达到合格(含)以上］,不限,1
本科提前批,历史,0040,"外交学院(北京,公办)",04,翻译［限招英语语种考生；须参加高考外语口试且成绩达到合格(含)以上］,不限,1
本科提前批,历史,0040,"外交学院(北京,公办)",05,法语［限招英语语种考生；须参加高考外语口试且成绩达到合格(含)以上］,不限,1
本科提前批,历史,0040,"外交学院(北京,公办)",06,日语［限招英语语种考生；须参加高考外语口试且成绩达到合格(含)以上］,不限,1
本科提前批,历史,0040,"外交学院(北京,公办)",07,西班牙语［限招英语语种考生；须参加高考外语口试且成绩达到合格(含)以上］,不限,1
本科提前批,历史,0040,"外交学院(北京,公办)",08,法学［须参加高考外语口试且成绩达到合格(含)以上］,不限,1
本科提前批,历史,0040,"外交学院(北京,公办)",11,国际事务与国际关系［须参加高考外语口试且成绩达到合格(含)以上］,政治,3
本科提前批,历史,0040,"外交学院(北京,公办)",23,英语(国际传播)［限招英语语种考生；须参加高考外语口试且成绩达到合格(含)以上］,不限,1
本科提前批,历史,0486,"武汉大学(湖北,公办)",B1,马克思主义理论(含马克思主义理论、思想政治教育、中国共产党历史),政治,4
本科提前批,历史,J039,"武警工程大学(陕西,公办)",AB,思想政治教育(武警内卫总队执勤分队指挥)(指挥)(只招男生)(特控线上录取)(体检标准:其他专业合格)(只招英语考生),政治,1
本科提前批,历史,J044,"武警海警学院(浙江,公办)(指挥)",AA,法学(维权执法)(指挥)(只招男生)(特控线上录取)(体检标准:其他专业合格)(只招英语考生),政治,1
本科提前批,历史,JV44,"武警海警学院(浙江,公办)(指挥)(女)",AC,法学(维权执法)(指挥)(只招女生)(特控线上录取)(体检标准:其他专业合格)(只招英语考生),政治,1
本科提前批,历史,0635,"西南大学(重庆,公办)(公费师范)",11,汉语言文学(国家公费师范生),不限,1
本科提前批,历史,0635,"西南大学(重庆,公办)(公费师范)",21,"英语(国家公费师范生)(只招英语考生,口试合格及以上)",不限,1
本科提前批,历史,0635,"西南大学(重庆,公办)(公费师范)",31,历史学(国家公费师范生),不限,3
本科提前批,历史,0635,"西南大学(重庆,公办)(公费师范)",41,思想政治教育(国家公费师范生),政治,1
本科提前批,历史,0635,"西南大学(重庆,公办)(公费师范)",G1,地理科学(国家公费师范生)(不招色盲考生),化或地,1
本科提前批,历史,X006,"香港城市大学(香港,公办)",01,商学院(计算金融及金融科技；环球商业；会计；商业经济；金融；资讯管理；环球商业系统管理；管理学；商业营运管理；商业分析；市场营销)(学费为每学年港币14万元)［考生高考实际分数(不含加分)应达到特殊类型招生控制线］(英语成绩须达120分或以上),,1
本科提前批,历史,X002,"香港中文大学(香港,公办)",02,"本科入学奖学金类(学费每年72500港元)(高考成绩须达到600分或以上,英语成绩须达130分或以上)",,1
本科提前批,历史,X002,"香港中文大学(香港,公办)",03,人文类,不限,2
本科提前批,历史,X002,"香港中文大学(香港,公办)",04,商科类,不限,1
本科提前批,历史,6407,"香港中文大学(深圳)(广东,内地与港澳台地区合作办学)",02,经济管理试验班(经济学、金融学、市场营销、会计学、国际商务),不限,6
本科提前批,历史,1392,"云南警官学院(云南,公办)(公安类,须参加面试、体检、政审)",A5,禁毒学(只招男生),政治,2
本科提前批,历史,P392,"云南警官学院(云南,公办)(女)",A8,禁毒学(只招女生),政治,1
本科提前批,历史,J037,"战略支援部队信息工程大学(河南,公办)",AA,国际事务与国际关系(国际事务与国际关系)(指挥)(只招男生)(特控线上录取)(体检标准:其他专业合格)(只招英语考生),政治,1
本科提前批,历史,J037,"战略支援部队信息工程大学(河南,公办)",AB,塔吉克语(军事外语技术)(非指挥)(只招男生)(特控线上录取)(体检标准:其他专业合格)(只招英语考生),不限,1
本科提前批,历史,J037,"战略支援部队信息工程大学(河南,公办)",AC,侦察情报(认知安全)(指挥)(只招男生)(特控线上录取)(体检标准:其他专业合格)(只招英语考生),不限,1
本科提前批,历史,JV37,"战略支援部队信息工程大学(河南,公办)(女)",AD,国际事务与国际关系(国际事务与国际关系)(指挥)(只招女生)(特控线上录取)(体检标准:其他专业合格)(只招英语考生),政治,1
本科提前批,历史,JV37,"战略支援部队信息工程大学(河南,公办)(女)",AE,英语(军事外语技术)(非指挥)(只招女生)(特控线上录取)(体检标准:其他专业合格)(只招英语考生),不限,1
本科提前批,历史,JV37,"战略支援部队信息工程大学(河南,公办)(女)",AG,越南语(军事外语技术)(非指挥)(只招女生)(特控线上录取)(体检标准:其他专业合格)(只招英语考生),不限,1
本科提前批,历史,0335,"浙江大学(浙江,公办)",1D,外国语言文学类(小语种)(德语、法语、西班牙语、日语、俄语),不限,7
本科提前批,历史,0335,"浙江大学(浙江,公办)",1E,马克思主义理论,政治,5
本科提前批,历史,P483,"浙江警察学院(浙江,公办)(女)",13,涉外警务(外语成绩单科不低于120分.民族为汉族.只招女生),政治,1
本科提前批,历史,0033,"中国传媒大学(北京,公办)",45,日语(只招英语考生),不限,2
本科提前批,历史,0033,"中国传媒大学(北京,公办)",49,俄语(只招英语考生),不限,2
本科提前批,历史,0033,"中国传媒大学(北京,公办)",51,印地语(只招英语考生),不限,2
本科提前批,历史,0624,"中国民用航空飞行学院(四川,公办)",0J,"飞行技术(运输机驾驶)［中国民用航空飞行学院(本校自招),报考该专业须提前经过民航专业机构的招飞体检鉴定、民用航空背景调查、飞行职业心理学检测合格.合格考生再依据投档成绩从高到低顺序录取］",化学,3
本科提前批,历史,0624,"中国民用航空飞行学院(四川,公办)",18,"飞行技术(运输机驾驶)［中国民用航空飞行学院(中国国际航空股份有限公司送培),报考该专业须提前经过民航专业机构的招飞体检鉴定、民用航空背景调查、飞行职业心理学检测合格.合格考生再依据投档成绩从高到低顺序录取］",化学,3
本科提前批,历史,0002,"中国人民大学(北京,公办)",A1,"外国语言文学类(含主辅修实验班项目)(日语、俄语、德语、法语、西班牙语)(含日本、俄罗斯、法国、德国、加拿大以及西班牙等多个国家著名高校的免费交流项目机会；国际新闻全英文项目)(外语语种为英语,如有口试须口试合格)",不限,3
本科提前批,历史,0002,"中国人民大学(北京,公办)",A2,"中国共产党历史(含跨校主辅修项目)(含学院优秀本科生直博项目,与北京外国语大学英语学院合作建立“21世纪马克思主义对外传播人才”跨校主辅修项目)",政治,1
本科提前批,历史,0041,"中国人民公安大学(北京,公办)",11,"治安学(只招男生.均须参加各省级公安机关组织的考察、面试、体检、体能测评并且合格,考生年龄为16周岁以上、22周岁以下,具体要求详见《招生章程》)",政治,6
本科提前批,历史,0041,"中国人民公安大学(北京,公办)",12,"治安学(警察法学方向)(只招男生.均须参加各省级公安机关组织的考察、面试、体检、体能测评并且合格,考生年龄为16周岁以上、22周岁以下,具体要求详见《招生章程》)",政治,2
本科提前批,历史,0041,"中国人民公安大学(北京,公办)",13,"侦查学(只招男生.均须参加各省级公安机关组织的考察、面试、体检、体能测评并且合格,考生年龄为16周岁以上、22周岁以下,具体要求详见《招生章程》)",政治,6
本科提前批,历史,0041,"中国人民公安大学(北京,公办)",14,"公安情报学(只招男生.均须参加各省级公安机关组织的考察、面试、体检、体能测评并且合格,考生年龄为16周岁以上、22周岁以下,具体要求详见《招生章程》)",政治,2
本科提前批,历史,0041,"中国人民公安大学(北京,公办)",15,"犯罪学(只招男生.均须参加各省级公安机关组织的考察、面试、体检、体能测评并且合格,考生年龄为16周岁以上、22周岁以下,具体要求详见《招生章程》)",政治,2
本科提前批,历史,0041,"中国人民公安大学(北京,公办)",16,"公安管理学(只招男生.均须参加各省级公安机关组织的考察、面试、体检、体能测评并且合格,考生年龄为16周岁以上、22周岁以下,具体要求详见《招生章程》)",政治,2
本科提前批,历史,P041,"中国人民公安大学(北京,公办)(女)",21,"治安学(只招女生.均须参加各省级公安机关组织的考察、面试、体检、体能测评并且合格,考生年龄为16周岁以上、22周岁以下,具体要求详见《招生章程》)",政治,1
本科提前批,历史,P041,"中国人民公安大学(北京,公办)(女)",24,"公安情报学(只招女生.均须参加各省级公安机关组织的考察、面试、体检、体能测评并且合格,考生年龄为16周岁以上、22周岁以下,具体要求详见《招生章程》)",政治,1
本科提前批,历史,P041,"中国人民公安大学(北京,公办)(女)",26,"公安管理学(只招女生.均须参加各省级公安机关组织的考察、面试、体检、体能测评并且合格,考生年龄为16周岁以上、22周岁以下,具体要求详见《招生章程》)",政治,1
本科提前批,历史,1105,"中国人民警察大学(河北,公办)(定向)",1G,"移民管理(只招男生,面向地方公安机关入警就业.须参加由生源地省级公安机关组织的政治考察、面试、体检、体能测评且合格.具体标准详见警察大学2022年《招生章程》)",政治,2
本科提前批,历史,1105,"中国人民警察大学(河北,公办)(定向)",1L,"公安情报学(只招男生,面向地方公安机关入警就业.须参加由生源地省级公安机关组织的政治考察、面试、体检、体能测评且合格.具体标准详见警察大学2022年《招生章程》)",政治,2
本科提前批,历史,1105,"中国人民警察大学(河北,公办)(定向)",1P,"公安政治工作(只招男生,面向地方公安机关入警就业.须参加由生源地省级公安机关组织的政治考察、面试、体检、体能测评且合格.具体标准详见警察大学2022年《招生章程》)",政治,1
本科提前批,历史,P105,"中国人民警察大学(河北,公办)(定向)(女)",2L,"公安情报学(只招女生,面向地方公安机关入警就业.须参加由生源地省级公安机关组织的政治考察、面试、体检、体能测评且合格.具体标准详见警察大学2022年《招生章程》)",政治,1
本科提前批,历史,0039,"中国消防救援学院(北京,公办)",01,"消防指挥(消防救援方向,限男)(1.执行特殊类型招生控制分数线；2.只招男生；3.须参加本省消防员招录工作办公室组织的政治考核、体格检查、心理测试和面试,考核结论均为合格)",政治,1
本科提前批,历史,0039,"中国消防救援学院(北京,公办)",02,"消防指挥(森林消防方向,限男)(1.执行特殊类型招生控制分数线；2.只招男生；3.须参加本省消防员招录工作办公室组织的政治考核、体格检查、心理测试和面试,考核结论均为合格)",政治,1
本科提前批,历史,0039,"中国消防救援学院(北京,公办)",12,"消防政治工作(消防救援方向,限男)(1.执行特殊类型招生控制分数线；2.只招男生；3.须参加本省消防员招录工作办公室组织的政治考核、体格检查、心理测试和面试,考核结论均为合格)",政治,2
本科提前批,历史,0039,"中国消防救援学院(北京,公办)",13,"消防政治工作(森林消防方向,限男)(1.执行特殊类型招生控制分数线；2.只招男生；3.须参加本省消防员招录工作办公室组织的政治考核、体格检查、心理测试和面试,考核结论均为合格)",政治,1
本科提前批,历史,0175,"中国刑事警察学院(沈阳,公办)(定向)",B1,"侦查学(男,须参加生源省公安机关组织的政治考察、面试、体检、体能测评且合格,面向地方公安机关就业,详见《招生章程》)",政治,18
本科提前批,历史,0175,"中国刑事警察学院(沈阳,公办)(定向)",D1,"警犬技术(男,须参加生源省公安机关组织的政治考察、面试、体检、体能测评且合格,面向地方公安机关就业,详见《招生章程》)",政治,2
本科提前批,历史,0175,"中国刑事警察学院(沈阳,公办)(定向)",E1,"经济犯罪侦查(男,须参加生源省公安机关组织的政治考察、面试、体检、体能测评且合格,面向地方公安机关就业,详见《招生章程》)",政治,3
本科提前批,历史,0175,"中国刑事警察学院(沈阳,公办)(定向)",F1,"公安情报学(男,须参加生源省公安机关组织的政治考察、面试、体检、体能测评且合格,面向地方公安机关就业,详见《招生章程》)",政治,2
本科提前批,历史,0175,"中国刑事警察学院(沈阳,公办)(定向)",L1,"警犬技术(男,须参加生源省公安机关组织的政治考察、面试、体检、体能测评且合格,面向铁路公安机关就业,详见《招生章程》)",政治,3
本科提前批,历史,0175,"中国刑事警察学院(沈阳,公办)(定向)",M1,"经济犯罪侦查(男,须参加生源省公安机关组织的政治考察、面试、体检、体能测评且合格,面向铁路公安机关就业,详见《招生章程》)",政治,1
本科提前批,历史,0175,"中国刑事警察学院(沈阳,公办)(定向)",N1,"公安情报学(男,须参加生源省公安机关组织的政治考察、面试、体检、体能测评且合格,面向铁路公安机关就业,详见《招生章程》)",政治,1
本科提前批,历史,P175,"中国刑事警察学院(沈阳,公办)(定向)(女)",D2,"警犬技术(女,须参加生源省公安机关组织的政治考察、面试、体检、体能测评且合格,面向地方公安机关就业,详见《招生章程》)",政治,1
本科提前批,历史,P175,"中国刑事警察学院(沈阳,公办)(定向)(女)",F2,"公安情报学(女,须参加生源省公安机关组织的政治考察、面试、体检、体能测评且合格,面向地方公安机关就业,详见《招生章程》)",政治,1
本科提前批,历史,P175,"中国刑事警察学院(沈阳,公办)(定向)(女)",M2,"经济犯罪侦查(女,须参加生源省公安机关组织的政治考察、面试、体检、体能测评且合格,面向铁路公安机关就业,详见《招生章程》)",政治,1
本科提前批,历史,0520,"中南财经政法大学(湖北,公办)",0B,"公安学类(治安学、侦查学、侦查学(法庭科学方向))(须政审合格)(只招男生,男生裸眼视力任何一眼不低于4.7,身高应在1.70米以上,体重不低于50公斤)",政治,1
本科提前批,历史,1903,"中央司法警官学院(河北,公办)",02,"监狱学(只招男生.考生须政治考察合格,参加面试、体检和体能测试且合格.若因疫情等原因不组织面试、体检和体能测试,考生的身体条件按照投档时其电子档案中《2022年普通高等学校招生考生体格检查表》记载的体检项目和我校招生章程规定进行审核并决定是否录取)(我校对考生有身体条件的特殊要求,具体见招生章程)",不限,4
本科提前批,历史,1903,"中央司法警官学院(河北,公办)",03,"监狱学(心理矫治方向)(只招男生.考生须政治考察合格,参加面试、体检和体能测试且合格.若因疫情等原因不组织面试、体检和体能测试,考生的身体条件按照投档时其电子档案中《2022年普通高等学校招生考生体格检查表》记载的体检项目和我校招生章程规定进行审核并决定是否录取)(我校对考生有身体条件的特殊要求,具体见招生章程)",不限,2
本科提前批,历史,1903,"中央司法警官学院(河北,公办)",04,"监狱学(矫正教育方向)(只招男生.考生须政治考察合格,参加面试、体检和体能测试且合格.若因疫情等原因不组织面试、体检和体能测试,考生的身体条件按照投档时其电子档案中《2022年普通高等学校招生考生体格检查表》记载的体检项目和我校招生章程规定进行审核并决定是否录取)(我校对考生有身体条件的特殊要求,具体见招生章程)",不限,2
本科提前批,历史,1903,"中央司法警官学院(河北,公办)",05,"监狱学(劳动改造方向)(只招男生.考生须政治考察合格,参加面试、体检和体能测试且合格.若因疫情等原因不组织面试、体检和体能测试,考生的身体条件按照投档时其电子档案中《2022年普通高等学校招生考生体格检查表》记载的体检项目和我校招生章程规定进行审核并决定是否录取)(我校对考生有身体条件的特殊要求,具体见招生章程)",不限,3
